model,metric_type,V_A_dot,V_A_angle,V_D_dot,V_D_angle,A_D_dot,A_D_angle
BERT,original,-1.5523164783219732,180.0,3.025256765710819,0.0,2.512478401694943,0.0
BERT,orthogonalized,-2.47198095326695e-17,90.0,-1.0321604682062002e-16,90.0,1.3877787807814457e-16,90.0
RoBERTa,original,-0.01741364171063085,90.99777860719092,0.052670110888424285,86.98082790618851,0.04553168239861749,87.39032453301455
RoBERTa,orthogonalized,-2.2551405187698492e-17,90.0,2.3505503099485736e-16,89.99999999999999,2.0816681711721685e-17,90.0
NeoBERT,original,-4.888451134963618,180.0,1.4786247930991763,0.0,3.8133111637866373,0.0
NeoBERT,orthogonalized,-3.642919299551295e-16,90.00000000000003,4.0592529337857286e-16,89.99999999999997,3.209238430557093e-17,90.0
ModernBERT,original,-1.3799560349905797,180.0,2.4499619896305913,0.0,0.6291620825875845,51.01167047024712
ModernBERT,orthogonalized,6.938893903907228e-17,90.0,-1.1622647289044608e-16,90.0,3.122502256758253e-17,90.0
